snomed_code,n_records,frac_records,official_abbrev,assigned_class
426783006,41692,0.4837,NSR,NSR
39732003,12172,0.1412,LAD,AxisDev
164865005,12042,0.1397,EXTRA,MI
164934002,9346,0.1084,TAb,TAb
164873001,7518,0.0872,EXTRA,LVH
428750005,7108,0.0825,EXTRA,TAb
164889003,6950,0.0806,AF,AF
164951009,6778,0.0786,EXTRA,BBB
164861001,5118,0.0594,EXTRA,MI
59118001,4804,0.0557,RBBB,BBB
427084000,4804,0.0557,STach,STach
270492004,4788,0.0555,IAVB,AVBlock
426177001,4718,0.0547,SB,SB
429622005,3954,0.0459,EXTRA,TAb
164884008,3888,0.0451,EXTRA,VEctopy
445118002,3612,0.0419,LAnFB,AxisDev
284470004,3458,0.0401,PAC,AEctopy_Junctional
713426002,3222,0.0374,IRBBB,BBB
111975006,3026,0.0351,LQT,TAb
164930006,2950,0.0342,EXTRA,TAb
67741000119109,2596,0.0301,EXTRA,LVH
427393009,2480,0.0288,SA,NSR
164867002,2336,0.0271,EXTRA,MI
59931005,2224,0.0258,TInv,TAb
425623009,2090,0.0242,EXTRA,MI
164909002,2082,0.0242,LBBB,BBB
164917005,2026,0.0235,QAb,MI
698252002,1994,0.0231,NSIVCB,BBB
55930002,1554,0.0180,EXTRA,TAb
713427006,1366,0.0158,CRBBB,BBB
425419005,1340,0.0155,EXTRA,MI
251146004,1112,0.0129,LQRSV,BBB
164931005,904,0.0105,EXTRA,TAb
47665007,854,0.0099,RAD,AxisDev
54329005,832,0.0097,EXTRA,MI
17338001,730,0.0085,VPB,VEctopy
164947007,680,0.0079,LPR,AVBlock
426434006,650,0.0075,EXTRA,MI
164890007,628,0.0073,AFL,AF
10370003,598,0.0069,PR,AEctopy_Junctional
426627000,576,0.0067,Brady,SB
89792004,464,0.0054,EXTRA,LVH
63593006,430,0.0050,SVPB,AEctopy_Junctional
251120003,410,0.0048,EXTRA,BBB
445211001,404,0.0047,EXTRA,AxisDev
427172004,376,0.0044,PVC,VEctopy
413844008,322,0.0037,EXTRA,MI
251200008,312,0.0036,EXTRA,AxisDev
428417006,280,0.0032,EXTRA,TAb
6374002,274,0.0032,EXTRA,BBB
266249003,238,0.0028,EXTRA,LVH
446358003,234,0.0027,EXTRA,LVH
11157007,196,0.0023,EXTRA,VEctopy
74390002,176,0.0020,EXTRA,SIN_COBERTURA
233917008,158,0.0018,EXTRA,AVBlock
253352002,144,0.0017,EXTRA,LVH
426761007,126,0.0015,EXTRA,AEctopy_Junctional
195126007,124,0.0014,EXTRA,LVH
195042002,116,0.0013,EXTRA,AVBlock
251268003,104,0.0012,EXTRA,AEctopy_Junctional
27885002,102,0.0012,EXTRA,AVBlock
251266004,92,0.0011,EXTRA,AEctopy_Junctional
713422000,86,0.0010,EXTRA,AEctopy_Junctional
195080001,82,0.0010,EXTRA,AF
446813000,80,0.0009,EXTRA,LVH
164896001,76,0.0009,EXTRA,VEctopy
53741008,74,0.0009,EXTRA,SIN_COBERTURA
251180001,58,0.0007,EXTRA,VEctopy
67198005,54,0.0006,EXTRA,AEctopy_Junctional
251182009,46,0.0005,EXTRA,VEctopy
426664006,38,0.0004,EXTRA,AEctopy_Junctional
698247007,32,0.0004,EXTRA,SIN_COBERTURA
425856008,30,0.0003,EXTRA,VEctopy
253339007,28,0.0003,EXTRA,LVH
164895002,24,0.0003,EXTRA,VEctopy
251139008,24,0.0003,EXTRA,SIN_COBERTURA
164921003,22,0.0003,EXTRA,SIN_COBERTURA
426995002,18,0.0002,EXTRA,AEctopy_Junctional
65778007,18,0.0002,EXTRA,AVBlock
195060002,16,0.0002,EXTRA,SIN_COBERTURA
195101003,14,0.0002,EXTRA,AEctopy_Junctional
84114007,14,0.0002,EXTRA,SIN_COBERTURA
266257000,14,0.0002,EXTRA,SIN_COBERTURA
13640000,14,0.0002,EXTRA,VEctopy
426648003,12,0.0001,EXTRA,AEctopy_Junctional
29320008,12,0.0001,EXTRA,AEctopy_Junctional
368009,12,0.0001,EXTRA,SIN_COBERTURA
57054005,12,0.0001,EXTRA,MI
251170000,10,0.0001,EXTRA,AEctopy_Junctional
49578007,10,0.0001,EXTRA,SIN_COBERTURA
75532003,8,0.0001,EXTRA,VEctopy
54016002,6,0.0001,EXTRA,AVBlock
251173003,6,0.0001,EXTRA,AEctopy_Junctional
413444003,4,0.0000,EXTRA,MI
251164006,4,0.0000,EXTRA,AEctopy_Junctional
74615001,4,0.0000,EXTRA,SB
81898007,4,0.0000,EXTRA,VEctopy
204384007,4,0.0000,EXTRA,AVBlock
314208002,4,0.0000,EXTRA,AF
282825002,4,0.0000,EXTRA,AF
60423000,4,0.0000,EXTRA,SB
49260003,4,0.0000,EXTRA,VEctopy
370365005,2,0.0000,EXTRA,LVH
704997005,2,0.0000,EXTRA,TAb
82226007,2,0.0000,EXTRA,BBB
111288001,2,0.0000,EXTRA,VEctopy
251259000,2,0.0000,EXTRA,TAb
164937009,2,0.0000,EXTRA,TAb
77867006,2,0.0000,EXTRA,TAb
426749004,2,0.0000,EXTRA,AF
251168009,2,0.0000,EXTRA,AEctopy_Junctional
