condition,class,precision,recall,f1,n_true,n_pred,tp
original,A,0.8592,0.8026,0.8299,76,71,61
original,N,0.9021,0.9429,0.922,508,531,479
original,O,0.8059,0.7893,0.7975,242,237,191
original,~,0.7333,0.3929,0.5116,28,15,11
noise_snr_20p0db,A,0.8356,0.8026,0.8188,76,73,61
noise_snr_20p0db,N,0.9009,0.9488,0.9243,508,535,482
noise_snr_20p0db,O,0.8222,0.7645,0.7923,242,225,185
noise_snr_20p0db,~,0.6667,0.5,0.5714,28,21,14
noise_snr_10p0db,A,0.898,0.5789,0.704,76,49,44
noise_snr_10p0db,N,0.8621,0.935,0.8971,508,551,475
noise_snr_10p0db,O,0.8857,0.6405,0.7434,242,175,155
noise_snr_10p0db,~,0.3038,0.8571,0.4486,28,79,24
noise_snr_5p0db,A,0.9412,0.2105,0.3441,76,17,16
noise_snr_5p0db,N,0.8289,0.8681,0.8481,508,532,441
noise_snr_5p0db,O,0.8857,0.3843,0.536,242,105,93
noise_snr_5p0db,~,0.14,1.0,0.2456,28,200,28
baseline_wander,A,0.8472,0.8026,0.8243,76,72,61
baseline_wander,N,0.8998,0.9547,0.9265,508,539,485
baseline_wander,O,0.8202,0.7727,0.7957,242,228,187
baseline_wander,~,0.8,0.4286,0.5581,28,15,12
amplitude_x0p5,A,0.8261,0.75,0.7862,76,69,57
amplitude_x0p5,N,0.9144,0.9469,0.9304,508,526,481
amplitude_x0p5,O,0.817,0.7934,0.805,242,235,192
amplitude_x0p5,~,0.5417,0.4643,0.5,28,24,13
amplitude_x1p5,A,0.8696,0.7895,0.8276,76,69,60
amplitude_x1p5,N,0.8877,0.9488,0.9172,508,543,482
amplitude_x1p5,O,0.8106,0.7603,0.7846,242,227,184
amplitude_x1p5,~,0.6667,0.3571,0.4651,28,15,10
crop_10p0s,A,0.7931,0.6053,0.6866,76,58,46
crop_10p0s,N,0.798,0.9646,0.8734,508,614,490
crop_10p0s,O,0.7706,0.5413,0.6359,242,170,131
crop_10p0s,~,0.75,0.3214,0.45,28,12,9
crop_20p0s,A,0.8243,0.8026,0.8133,76,74,61
crop_20p0s,N,0.8661,0.9547,0.9082,508,560,485
crop_20p0s,O,0.8116,0.6942,0.7483,242,207,168
crop_20p0s,~,0.6923,0.3214,0.439,28,13,9
